Asset1,Asset2,Cointegration P-Value,Pearson,Spearman,Kendall,Hedge Ratio,Half-Life
API3USDT,FOXYUSDT,0.0030857519319899,0.9153928136903228,0.9242072424117346,0.7699084947159217,104.33819459908482,5.070049717857311
ZRXUSDT,GALAUSDT,0.0031295731737109,0.978223476687059,0.9443796040871002,0.8082624570867906,10.421789510587006,2.283462363579953
EGLDUSDT,SNXUSDT,0.0031708942816675,0.9513825186736636,0.9283779758121982,0.778008257666887,13.61805833388864,6.554795451046783
HIGHUSDT,COREUSDT,0.0032434542589782,0.9303080844743864,0.9368689327524916,0.8010308729154292,1.0453004066170957,3.122848399949924
C98USDT,DYDXUSDT,0.003426891579294,0.9577618351617028,0.9545894609775012,0.8319043092621415,0.1013039838976005,5.469573825026107
GMXUSDT,LINAUSDT,0.0036176400714232,0.9083998273833964,0.9096454565123806,0.742896332722214,3696.7719171804456,6.538170447520941
MTLUSDT,WAXPUSDT,0.0038044263442939,0.9846005611568404,0.9838654357013497,0.9002543600427568,23.5173354257998,1.6354586260109731
TIAUSDT,NTRNUSDT,0.0038107371887772,0.9265612103995712,0.9150477012940108,0.7505750481795513,11.01474846560558,4.95883677001431
ALICEUSDT,MINAUSDT,0.0038160555963506,0.9514401369197912,0.9102268997939996,0.7657148014572013,1.660249882613915,5.2734220594862125
LINAUSDT,BRETTUSDT,0.0038774082198492,0.9204685312966856,0.9139726000958862,0.7515003056938664,0.0274941839068713,5.2674654100067535
PERPUSDT,MOVRUSDT,0.0038839880682473,0.9640034425063992,0.9667787669845976,0.8517282710810199,0.0546936756442741,3.0162620337661648
LUNA2USDT,TLMUSDT,0.0039059627670267,0.9363385818343476,0.9145104734927552,0.791275118729736,31.604210442593587,5.232497074213299
ARUSDT,RDNTUSDT,0.0042239074878799,0.9295379130767114,0.9405592150674784,0.8051808587034274,239.39811192833,6.547636517939217
GTCUSDT,PORTALUSDT,0.0044786405022591,0.9520394099045092,0.9660036872672804,0.8545118446458064,1.88683733814802,5.291992869744065
KNCUSDT,ARBUSDT,0.0046629347530482,0.9608787397579658,0.9564782184138716,0.822706067046128,0.5483982804236626,3.42273497891316
OGNUSDT,ICXUSDT,0.0047191592623347,0.9568953363636232,0.9189128369081144,0.7794289918892849,0.5568996076192245,3.753797718442141
ACEUSDT,AEVOUSDT,0.0048686985810031,0.9687677385039368,0.9506479170096258,0.8238071566586788,5.8842634866377255,4.072229122330449
XTZUSDT,SANDUSDT,0.0051102185579428,0.9760531802801224,0.9878704023571386,0.9063617071827356,1.7743972193482882,2.69456547265846
BANDUSDT,ANKRUSDT,0.0052432368432702,0.9646381368292494,0.94974958156803,0.814642051141966,36.44211492399732,3.775013396925364
AIUSDT,IOUSDT,0.0052460714091082,0.9326445452258012,0.9565836362581208,0.8196572768133001,0.1787987598225224,5.195567498309494
BANDUSDT,ENJUSDT,0.0054052442281415,0.960857533599904,0.92031090015983,0.7871286334525396,4.588077517897744,4.035519731747366
MASKUSDT,u1000SHIBUSDT,0.0054914589616292,0.9333480931838892,0.914874796281874,0.7511057629581241,111.03158014525134,3.432376901985581
